date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:53	1112/1112	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22622d76eff9675681c2f2ad48b661150b%22	https://darkrise-astro.vercel.app/_astro/shopify.O0k9UfyA_Z1CxggE.svg	darkrise-astro.vercel.app/_astro/shopify.O0k9UfyA_Z1CxggE.svg	(from https://darkrise-astro.vercel.app/)
22:57:55	1375/1375	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225489be88af65025384e8c71844d934cd%22	https://darkrise-astro.vercel.app/_astro/slack.k38k3Ptj_ZL2s7k.svg	darkrise-astro.vercel.app/_astro/slack.k38k3Ptj_ZL2s7k.svg	(from https://darkrise-astro.vercel.app/)
22:57:57	1064/1064	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e2fbaeebc78d9831363a9418b5843c49%22	https://darkrise-astro.vercel.app/_astro/zapier.ChPN8ft5_ZlOAQw.svg	darkrise-astro.vercel.app/_astro/zapier.ChPN8ft5_ZlOAQw.svg	(from https://darkrise-astro.vercel.app/)
22:57:58	45190/45190	---M--	200	added ('OK')	image/webp	etag:%224760d7a7b0e1fcf289cf2b49881353d9%22	https://darkrise-astro.vercel.app/_astro/6.tksI6xJh_5c4qQ.webp	darkrise-astro.vercel.app/_astro/6.tksI6xJh_5c4qQ.webp	(from https://darkrise-astro.vercel.app/)
22:58:04	2028778/2028778	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2203768b751cfb83a995aaa92827e8bbc6%22	https://darkrise-astro.vercel.app/_astro/2.LbZnXuX4_ZWYF4U.svg	darkrise-astro.vercel.app/_astro/2.LbZnXuX4_ZWYF4U.svg	(from https://darkrise-astro.vercel.app/)
22:58:06	173455/173455	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d98f37fb2541d05ea0d3369fc0d54c9f%22	https://darkrise-astro.vercel.app/_astro/4.DxnVRxrs_Z2x0fJW.svg	darkrise-astro.vercel.app/_astro/4.DxnVRxrs_Z2x0fJW.svg	(from https://darkrise-astro.vercel.app/)
22:58:06	173751/173751	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221524b2c7d4b988960e41e019a204f790%22	https://darkrise-astro.vercel.app/_astro/3.DpT9CiUp_Z1qnjwM.svg	darkrise-astro.vercel.app/_astro/3.DpT9CiUp_Z1qnjwM.svg	(from https://darkrise-astro.vercel.app/)
22:58:08	203835/203835	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dac27aee6c2d4c085ba1cc81fbf464d9%22	https://darkrise-astro.vercel.app/_astro/5.BcxKi5Mi_2vLU2d.svg	darkrise-astro.vercel.app/_astro/5.BcxKi5Mi_2vLU2d.svg	(from https://darkrise-astro.vercel.app/)
22:58:12	187111/187111	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228824e7cea236500ef34202b407bc1a77%22	https://darkrise-astro.vercel.app/_astro/6.smaiC5an_Z1h55IV.svg	darkrise-astro.vercel.app/_astro/6.smaiC5an_Z1h55IV.svg	(from https://darkrise-astro.vercel.app/)
22:58:13	1645299/1645299	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bdc5d41dd6c7d3b4d17db79754925fa7%22	https://darkrise-astro.vercel.app/_astro/9.BHshOIg9_lAxi.svg	darkrise-astro.vercel.app/_astro/9.BHshOIg9_lAxi.svg	(from https://darkrise-astro.vercel.app/)
22:58:15	311616/311616	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22637c00520c86fcacdd6805abd5722034%22	https://darkrise-astro.vercel.app/_astro/10.uQh17on-_ZMmk10.svg	darkrise-astro.vercel.app/_astro/10.uQh17on-_ZMmk10.svg	(from https://darkrise-astro.vercel.app/)
22:58:16	64598/64598	---M--	200	added ('OK')	image/webp	etag:%220993913a4e95c27faf1b50e89b0ffcf0%22	https://darkrise-astro.vercel.app/_astro/call-to-action.Cl_QJlF9_1y8jva.webp	darkrise-astro.vercel.app/_astro/call-to-action.Cl_QJlF9_1y8jva.webp	(from https://darkrise-astro.vercel.app/)
22:58:18	11552/11552	---M--	200	added ('OK')	image/webp	etag:%22e7443a873fc6d0a0481d680f4e1f6728%22	https://darkrise-astro.vercel.app/_astro/call-to-action-bg.BQlRe6r4_2kqBUz.webp	darkrise-astro.vercel.app/_astro/call-to-action-bg.BQlRe6r4_2kqBUz.webp	(from https://darkrise-astro.vercel.app/)
22:58:21	4629/4629	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2240bb784439acdfdedb2e4ee6fe55a9c8%22	https://darkrise-astro.vercel.app/_astro/logo.B_O5iFVC_jG7of.svg	darkrise-astro.vercel.app/_astro/logo.B_O5iFVC_jG7of.svg	(from https://darkrise-astro.vercel.app/)
22:58:22	17160/17160	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22e45cf97d31fe39107e41e6d29f8ba3c4%22	https://darkrise-astro.vercel.app/integration/kickstar/	darkrise-astro.vercel.app/integration/kickstar/index.html	(from https://darkrise-astro.vercel.app/)
22:58:22	2510672/2510672	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22291ccd9c9ecf012548d823a2940d9334%22	https://darkrise-astro.vercel.app/_astro/11.JdwsPS4A_Z17abkF.svg	darkrise-astro.vercel.app/_astro/11.JdwsPS4A_Z17abkF.svg	(from https://darkrise-astro.vercel.app/)
22:58:22	29380/29380	---MCZ	200	added ('OK')	application/javascript	etag:W/%222642279651798319272d78878ebf7c57%22	https://darkrise-astro.vercel.app/_astro/hoisted.DKsoIRUI.js	darkrise-astro.vercel.app/_astro/hoisted.DKsoIRUI.js	(from https://darkrise-astro.vercel.app/about/)
